"Product","Price","Link"
"Beats Solo3 Wireless On-Ear Headphones - Matte Silver","$189.00 (5 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIAEFS6PY7784&cm_re=beats-_-0TH-00ZD-00222-_-Product"
"Beats Solo3 Wireless On-Ear Headphones MP582LL/A - Black","$197.86 (6 Offers)","https://www.newegg.com/Product/Product.aspx?Item=0TH-00ZD-00109&cm_re=beats-_-0TH-00ZD-00109-_-Product"
"SEALED BEATS BY DRE BEATS X MLYE2LL/A IN-EAR WIRELESS EARPHONE BLACK","$109.00 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA29P7836029&cm_re=beats-_-0TH-00ZD-001G6-_-Product"
"Beats by Dr. Dre - Powerbeats3 Wireless - White","$114.95 (5 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA8HC5JX2157&cm_re=beats-_-0G6-00N6-00027-_-Product"
"Beats by Dr. Dre - Beats Studio Wireless On-Ear Headphones - Titanium","$199.99 (3 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIAEFS6PY8095&cm_re=beats-_-0TH-00ZD-001R7-_-Product"
"Beats Solo3 Wireless On-Ear Headphones MNET2LL/A - Rose Gold","","https://www.newegg.com/Product/Product.aspx?Item=0TH-00ZD-00111&cm_re=beats-_-0TH-00ZD-00111-_-Product"
"Beats Solo3 Wireless On-Ear Headphone MNEN2LL/A - Gloss Black","","https://www.newegg.com/Product/Product.aspx?Item=0TH-00ZD-00108&cm_re=beats-_-0TH-00ZD-00108-_-Product"
"Beats By Dre urBeats Special Edition - Space Gray","$74.99 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA93F54W5809&cm_re=beats-_-0TH-00ZD-000A1-_-Product"
"Refurbished: Beats By Dr. Dre - Beats X Bluetooth Wireless - in-ear Earphones","$71.50 (4 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIAC8U5KA7874&cm_re=beats-_-0TH-00ZD-001H4-_-Product"
"Beats by Dr. Dre Solo2 Luxe Edition On-Ear Foldable Stereo Headphones - Black","$129.00 (6 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIABVC6MV2980&cm_re=beats-_-0RC-00MT-00009-_-Product"
"Refurbished: Beats by Dr. Dre White MH6N2AM/A 3.5mm Connector Supra-aural On-Ear High Performance Professional DJ Headphone","$69.99","https://www.newegg.com/Product/Product.aspx?Item=N82E16826101164&cm_re=beats-_-26-101-164-_-Product"
"Refurbished: Beats by Dr Dre SOLO3 Wireless Headphones Black","$114.48 (3 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIACYN61X2570&cm_re=beats-_-0TH-00CT-000Z3-_-Product"
"Refurbished: Beats by Dr. Dre Powerbeats3 ML8V2LL/A Wireless Earphones With Mic - Black","$84.00 (9 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIAC8U5R22787&cm_re=beats-_-0TH-00ZD-001K7-_-Product"
"Beats by Dr. Dre Gray MQFX2LL 3.5mm Connector urBeats3","$74.95","https://www.newegg.com/Product/Product.aspx?Item=N82E16826101170&cm_re=beats-_-26-101-170-_-Product"
"Beats by Dr. Dre - Beats Solo3 Wireless Headphones - Gold","$229.95 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=0TH-00ZD-00110&cm_re=beats-_-0TH-00ZD-00110-_-Product"
"Beats Studio Wireless Over-Ear Headphone - Black","","https://www.newegg.com/Product/Product.aspx?Item=9SIA2NT1GB8625&cm_re=beats-_-9SIA2NT1GB8625-_-Product"
"Beats Solo 2 On-Ear Headphone - White","$129.00","https://www.newegg.com/Product/Product.aspx?Item=9SIA3FA6VF5846&cm_re=beats-_-9SIA3FA6VF5846-_-Product"
"Refurbished: Beats by Dr. Dre Red STUDIO2WIREDR 3.5mm Connector STUDIO 2 WIRED HEADPHONES","$127.40 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=N82E16826323184&cm_re=beats-_-26-323-184-_-Product"
"Beats Studio Wireless Over-Ear Headphone - Matte Black","$229.99 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA29P73V2276&cm_re=beats-_-26-323-066-_-Product"
"Refurbished: Beats By Dr. Dre - Beats X Bluetooth Wireless - in-ear Earphones","$71.50 (5 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIAC8U5UU0707&cm_re=beats-_-0TH-00ZD-001H8-_-Product"
"Beats Solo2 Wireless On-Ear Headphone - Black","$199.99","https://www.newegg.com/Product/Product.aspx?Item=N82E16826101028&cm_re=beats-_-26-101-028-_-Product"
"Refurbished: Beats Studio Headphones (Over Ear) Blue","$72.00","https://www.newegg.com/Product/Product.aspx?Item=9SIA5EF57Z3259&cm_re=beats-_-9SIA5EF57Z3259-_-Product"
"Beats Solo3 Wireless On-Ear Headphone MNEQ2LL/A - Silver","$210.80 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=N82E16826323222&cm_re=beats-_-26-323-222-_-Product"
"Refurbished: Beats by Dr. Dre Powerbeats3 Wireless Earphones in White","$68.26 (5 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIACYN5SY5107&cm_re=beats-_-0TH-00ZD-001K6-_-Product"
"Beats by Dr. Dre - Powerbeats3 Wireless - Black","$199.99 (5 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIA1JX74V8238&cm_re=beats-_-0TH-00ZD-00182-_-Product"
"Open Box: Beats MH8W2AM/A Solo2 On-Ear Headphones - Black","$97.99","https://www.newegg.com/Product/Product.aspx?Item=N82E16826323054R&cm_re=beats-_-26-323-054R-_-Product"
"Beats Solo 2 On-Ear Headphone - Pink","$119.99 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIACAW5S48474&cm_re=beats-_-26-323-070-_-Product"
"Beats Solo3 Wireless On-Ear Headphones - Matte Gold","$239.99 (2 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIAFD07AX9128&cm_re=beats-_-0TH-00ZD-00223-_-Product"
"Refurbished: Beats by Dr. Dre White MHBG2AM/A Powerbeats 2 Wireless In-Ear Headphone","$68.00","https://www.newegg.com/Product/Product.aspx?Item=9SIAC8U50W9335&cm_re=beats-_-9SIAC8U50W9335-_-Product"
"Beats urBeats In Ear Headphone - Matte Black","$49.99 (3 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIACX45E24022&cm_re=beats-_-26-696-026-_-Product"
"Refurbished: Beats By Dr. Dre - Beats X Bluetooth Wireless - in-ear Earphones","$71.50 (5 Offers)","https://www.newegg.com/Product/Product.aspx?Item=9SIAC8U5UU0705&cm_re=beats-_-0TH-00ZD-001H7-_-Product"
"Beats By Dre Studio3 Wireless Over-Ear Headphones Matte Black","$336.15","https://www.newegg.com/Product/Product.aspx?Item=9SIAEFP73V6779&cm_re=beats-_-9SIAEFP73V6779-_-Product"
"Beats Powerbeats2 Wireless Bluetooth In-Ear Headphones With In-Line Mic (Flash Blue)","$119.99","https://www.newegg.com/Product/Product.aspx?Item=9SIAE2J5X29067&cm_re=beats-_-9SIAE2J5X29067-_-Product"
"Waterproof Bluetooth Earbuds Beats Sports Wireless Headphones Stay in Ear Design","$16.99","https://www.newegg.com/Product/Product.aspx?Item=9SIA0U06D53760&cm_re=beats-_-9SIA0U06D53760-_-Product"
"Apple Beats BeatsX Matte Silver In Ear Headphones MR3J2LL/A","$144.08","https://www.newegg.com/Product/Product.aspx?Item=0TH-00CT-00158&cm_re=beats-_-0TH-00CT-00158-_-Product"
"Refurbished: Beats by Dr. Dre Light Blue MHC52AM/A Supra-aural Mixr High-Performance Headphones","$69.99","https://www.newegg.com/Product/Product.aspx?Item=N82E16826101160&cm_re=beats-_-26-101-160-_-Product"
